%time,field.data
1574069827811890380,1.21
1574069828076201856,1.171
1574069828368367712,1.118
1574069828630539686,1.083
1574069828871611123,1.041
1574069829132615483,0.996
1574069829394354743,0.964
1574069829647542206,0.94
1574069829907273028,0.911
1574069830196458480,0.892
1574069830464850551,0.89
1574069830730193106,0.89
1574069830990244012,0.906
1574069831288834254,0.922
1574069831534355502,0.932
1574069831819386204,0.946
1574069832091055450,0.954
1574069832369412972,0.951
1574069832655759225,0.962
1574069832889697097,0.967
1574069833144435770,0.967
1574069833413860907,0.976
1574069833693774484,0.98
1574069833951952519,0.974
1574069834243240262,0.973
1574069834516412604,0.976
1574069834806727894,0.972
1574069835019448474,0.973
1574069835275921241,0.976
1574069835536672064,0.977
1574069835794504982,0.979
1574069836057065317,0.985
1574069836306841684,0.993
1574069836575391965,1.005
1574069836832362286,1.01
1574069837120668667,1.004
1574069837409246086,1.001
1574069837646685822,1.004
1574069837895145634,1.007
1574069838156921738,1.012
1574069838410793840,1.027
1574069838671743025,1.042
1574069838929504607,1.055
1574069839190168562,1.062
1574069839451656529,1.066
1574069839710170994,1.07
1574069840003748959,1.081
1574069840296097298,1.093
1574069840558563109,1.104
1574069840830198594,1.11
1574069841081439615,1.112
1574069841333095082,1.112
1574069841611687669,1.111
1574069841876340036,1.103
1574069842136000303,1.084
1574069842388474651,1.074
1574069842685197512,1.059
1574069842984226237,1.037
1574069843227390742,1.019
1574069843512234783,1.001
1574069843792865342,0.978
1574069844045174335,0.965
1574069844311853009,0.928
1574069844629775548,0.886
1574069844838722892,0.84
1574069845092677857,0.764
1574069845348901987,0.655
1574069845611985920,0.534
1574069845928005545,0.403
1574069846172462786,0.298
1574069846432662535,0.226
1574069846669785000,0.189
1574069846910664812,0.139
1574069847147057772,0.062
1574069847393009926,-0.047
1574069847630339552,-0.168
1574069847873392761,-0.269
1574069848109593400,-0.364
1574069848353121672,-0.445
1574069848591846349,-0.514
1574069848829835025,-0.557
1574069849072757034,-0.569
1574069849310512254,-0.557
1574069849552250716,-0.535
1574069849791390526,-0.508
1574069850028165917,-0.479
1574069850266862935,-0.45
1574069850512379568,-0.423
1574069850750072189,-0.394
1574069850990190976,-0.365
1574069851231278367,-0.342
1574069851469546180,-0.315
1574069851710468160,-0.288
1574069851946816898,-0.262
1574069852192570996,-0.241
1574069852429949608,-0.218
1574069852666131928,-0.192
1574069852911617719,-0.181
1574069853150065193,-0.172
1574069853390011524,-0.16
1574069853631832389,-0.145
1574069853870639008,-0.139
1574069854109956369,-0.136
1574069854353095891,-0.128
1574069854591513261,-0.119
1574069854831935941,-0.117
1574069855069747611,-0.116
1574069855310922852,-0.119
1574069855549997278,-0.119
1574069855792553807,-0.12
1574069856030118390,-0.128
1574069856271026216,-0.141
1574069856509691149,-0.154
1574069856750165526,-0.167
1574069856992121958,-0.186
1574069857227160677,-0.204
1574069857470114269,-0.213
1574069857712680168,-0.223
1574069857949133060,-0.232
1574069858190172472,-0.238
1574069858429574770,-0.246
1574069858672207685,-0.252
1574069858911732425,-0.259
1574069859151739265,-0.268
1574069859389167289,-0.276
1574069859631089045,-0.28
1574069859871132761,-0.284
1574069860110116966,-0.294
1574069860352898763,-0.303
1574069860592332224,-0.308
1574069860830775366,-0.309
1574069861064474607,-0.312
1574069861310971690,-0.313
1574069861549211314,-0.303
1574069861789356129,-0.292
1574069862030117786,-0.289
1574069862271721027,-0.284
1574069862511945275,-0.275
1574069862745606958,-0.266
1574069862989694055,-0.261
1574069863229336336,-0.254
1574069863471927891,-0.24
1574069863711578227,-0.226
1574069863952644544,-0.215
1574069864190891162,-0.2
1574069864428609792,-0.183
1574069864674832486,-0.163
1574069864911105568,-0.154
