%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1574069856054699186,308,1574069856054533553,,1574069856261221000,fcu
1574069856302814665,309,1574069856302448004,,1574069856500758000,fcu
1574069856537174288,310,1574069856536980801,,1574069856740812000,fcu
1574069856775089977,311,1574069856774687387,,1574069856981020000,fcu
1574069857026875849,312,1574069857026619813,,1574069857220756000,fcu
1574069857266649682,313,1574069857266335276,,1574069857460814000,fcu
1574069857510161336,314,1574069857509901506,,1574069857701012000,fcu
1574069857736847625,315,1574069857736505466,,1574069857940975000,fcu
1574069857982684222,316,1574069857982521815,,1574069858180857000,fcu
1574069858219762804,317,1574069858219344263,,1574069858421025000,fcu
1574069858461125448,318,1574069858460868805,,1574069858660794000,fcu
1574069858705015362,319,1574069858704696963,,1574069858900916000,fcu
1574069858944945965,320,1574069858944740208,,1574069859141042000,fcu
1574069859176370570,321,1574069859176006565,,1574069859380816000,fcu
1574069859422050209,322,1574069859421881160,,1574069859620867000,fcu
1574069859653130728,323,1574069859652871347,,1574069859861033000,fcu
1574069859912400009,324,1574069859912121711,,1574069860100802000,fcu
1574069860139426121,325,1574069860139125578,,1574069860340763000,fcu
1574069860377267205,326,1574069860377039194,,1574069860581020000,fcu
1574069860623216620,327,1574069860622898120,,1574069860820821000,fcu
1574069860871405260,328,1574069860871119662,,1574069861060816000,fcu
1574069861104000662,329,1574069861103656753,,1574069861301112000,fcu
1574069861332795293,330,1574069861332567911,,1574069861540808000,fcu
1574069861588386474,331,1574069861588041054,,1574069861780962000,fcu
1574069861817447154,332,1574069861817220044,,1574069862021023000,fcu
1574069862075407859,333,1574069862075017672,,1574069862260812000,fcu
1574069862307843663,334,1574069862307630718,,1574069862500813000,fcu
1574069862537803104,335,1574069862537438712,,1574069862740966000,fcu
1574069862780631574,336,1574069862780423878,,1574069862980978000,fcu
1574069863021859721,337,1574069863021506521,,1574069863220824000,fcu
1574069863258850475,338,1574069863258678647,,1574069863460924000,fcu
1574069863500932873,339,1574069863500607768,,1574069863700799000,fcu
1574069863734756296,340,1574069863734595581,,1574069863940811000,fcu
1574069863993466480,341,1574069863993124009,,1574069864181023000,fcu
1574069864224606365,342,1574069864224408607,,1574069864420825000,fcu
1574069864455769503,343,1574069864455386262,,1574069864661023000,fcu
1574069864708968847,344,1574069864708708286,,1574069864901041000,fcu
1574069864952311865,345,1574069864951882214,,1574069865140807000,fcu
